                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.36631,                 1.0241,                0.55642,                0.91663,                0.88162,                0.63415,                0.85735,                0.61912,                0.88162,                0.63415,                0.80144,                  0.536,                 1.2986,                 1.9209,                 1.1036,                 1.2388,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.47242,                 1.2691,                0.42342,                0.93918,                0.88162,                0.63415,                0.85735,                0.61912,                0.88162,                0.63415,                0.80144,                  0.536,                 1.2986,                 1.9209,                 1.1036,                 1.2388,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.48998,                 1.1411,                0.50294,                0.94547,                0.87461,                 0.6374,                0.84565,                0.60805,                0.87461,                 0.6374,                0.79532,                0.52681,                 1.3051,                 1.9252,                 1.1581,                 1.2417,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.40453,                0.99932,                0.34103,                0.88822,                0.87461,                 0.6374,                0.84565,                0.60805,                0.87461,                 0.6374,                0.79532,                0.52681,                 1.3051,                 1.9252,                 1.1581,                 1.2417,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.44488,                 1.0853,                0.43289,                0.91752,                0.85677,                0.63559,                0.80887,                0.58951,                0.85677,                0.63559,                0.76818,                0.50117,                 1.3271,                 1.9328,                 1.2404,                 1.2516,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.60288,                 1.3809,                0.85525,                 1.0408,                0.85677,                0.63559,                0.80887,                0.58951,                0.85677,                0.63559,                0.76818,                0.50117,                 1.3271,                 1.9328,                 1.2404,                 1.2516,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.47833,                 1.1488,                0.58522,                 1.0046,                 0.9021,                0.61311,                 0.8051,                0.58436,                 0.9021,                0.61311,                0.76817,                0.49318,                 1.3261,                 1.9301,                  1.281,                 1.2534,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.45935,                0.98901,                0.41392,                0.87199,                 0.9021,                0.61311,                 0.8051,                0.58436,                 0.9021,                0.61311,                0.76817,                0.49318,                 1.3261,                 1.9301,                  1.281,                 1.2534,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.48744,                 1.0971,                0.57683,                0.95863,                0.90673,                0.61454,                0.80086,                0.58308,                0.90673,                0.61454,                0.77275,                0.50241,                 1.3429,                 1.9348,                 1.3269,                 1.2608,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.73522,                 1.4385,                0.66726,                 1.0959,                0.90673,                0.61454,                0.80086,                0.58308,                0.90673,                0.61454,                0.77275,                0.50241,                 1.3429,                 1.9348,                 1.3269,                 1.2608,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.38324,                0.85108,                0.37841,                0.96231,                0.90378,                0.61293,                0.79568,                 0.5878,                0.90378,                0.61293,                 0.7775,                0.49171,                 1.3446,                 1.9367,                 1.3657,                 1.2667,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.45483,                 1.0776,                0.35684,                0.98081,                0.90378,                0.61293,                0.79568,                 0.5878,                0.90378,                0.61293,                 0.7775,                0.49171,                 1.3446,                 1.9367,                 1.3657,                 1.2667,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.43738,                 1.2261,                0.36412,                0.86334,                0.90198,                 0.6116,                0.78958,                0.58231,                0.90198,                 0.6116,                0.77372,                0.48676,                   1.37,                 1.9621,                 1.4332,                 1.2762,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.36989,                0.76357,                0.30681,                0.88943,                0.90198,                 0.6116,                0.78958,                0.58231,                0.90198,                 0.6116,                0.77372,                0.48676,                   1.37,                 1.9621,                 1.4332,                 1.2762,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.48628,                0.97847,                0.49387,                0.94237,                0.90198,                 0.6116,                0.78958,                0.58231,                0.90198,                 0.6116,                0.77372,                0.48676,                   1.37,                 1.9621,                 1.4332,                 1.2762,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.42004,                0.81203,                0.43728,                0.92981,                0.90146,                0.61029,                 0.7882,                0.56383,                0.90146,                0.61029,                0.76756,                0.48792,                 1.3779,                 1.9651,                 1.4754,                  1.281,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                0.37901,                0.94879,                0.39548,                0.89699,                0.90146,                0.61029,                 0.7882,                0.56383,                0.90146,                0.61029,                0.76756,                0.48792,                 1.3779,                 1.9651,                 1.4754,                  1.281,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                0.27206,                0.83808,                0.31023,                0.87243,                0.90146,                0.61029,                 0.7882,                0.56383,                0.90146,                0.61029,                0.76756,                0.48792,                 1.3779,                 1.9651,                 1.4754,                  1.281,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.45103,                 1.3015,                 0.6088,                0.96512,                0.90958,                0.60652,                0.78345,                0.56352,                0.90958,                0.60652,                0.77113,                0.50244,                 1.4003,                 1.9738,                  1.552,                 1.2899,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.46623,                0.84531,                0.42635,                0.96161,                0.90958,                0.60652,                0.78345,                0.56352,                0.90958,                0.60652,                0.77113,                0.50244,                 1.4003,                 1.9738,                  1.552,                 1.2899,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.41265,                0.89496,                0.46417,                0.94076,                0.90958,                0.60652,                0.78345,                0.56352,                0.90958,                0.60652,                0.77113,                0.50244,                 1.4003,                 1.9738,                  1.552,                 1.2899,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 0.3364,                0.83187,                0.30809,                0.90466,                0.90612,                0.60394,                0.77082,                0.55814,                0.90612,                0.60394,                0.77082,                0.48957,                 1.4234,                 1.9951,                  1.619,                 1.3031,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.43842,                0.99706,                0.33301,                0.90878,                0.90612,                0.60394,                0.77082,                0.55814,                0.90612,                0.60394,                0.77082,                0.48957,                 1.4234,                 1.9951,                  1.619,                 1.3031,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.35744,                0.84443,                0.35915,                 1.0022,                0.90612,                0.60394,                0.77082,                0.55814,                0.90612,                0.60394,                0.77082,                0.48957,                 1.4234,                 1.9951,                  1.619,                 1.3031,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.40825,                0.93113,                0.41485,                0.92199,                0.90893,                0.60652,                0.76851,                0.55994,                0.90893,                0.60652,                0.76851,                0.49648,                 1.4311,                 2.0154,                 1.6619,                 1.3099,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.35456,                0.97665,                0.41121,                0.91654,                0.90893,                0.60652,                0.76851,                0.55994,                0.90893,                0.60652,                0.76851,                0.49648,                 1.4311,                 2.0154,                 1.6619,                 1.3099,             2.8211e-05,             2.8211e-05,             2.8211e-05
